pair	term1	term2	term2: unigram or bigram	source	relation	relatedness score	pos
(access service, program record)	access service	program record	bigram	PhraseTable_co-aligned	None	0.377	n-n
(access service, direct link)	access service	direct link	bigram	PhraseTable_co-aligned	None	0.328	n-n
(access service, link)	access service	link	unigram	PhraseTable_co-aligned	None	0.324	n-n
(access service, freedom)	access service	freedom	unigram	PhraseTable_co-aligned	None	0.209	n-n
(adult female, woman)	adult female	woman	unigram	WordNet_synonym	None	0.828	n-n
(adult female, female adult)	adult female	female adult	bigram	Wikipedia_transposed	None	0.812	n-n
(adult female, woman's body)	adult female	woman's body	bigram	WordNet_part-whole	meronym	0.714	n-n
(adult female, grownup)	adult female	grownup	unigram	WordNet_is-a	hypernym	0.683	n-n
(adult female, population)	adult female	population	unigram	PhraseTable_co-aligned	None	0.389	n-n
(adult female, amazon)	adult female	amazon	unigram	WordNet_is-a	hyponym	0.262	n-n
(adult female, survey)	adult female	survey	unigram	PhraseTable_co-aligned	None	0.093	n-n
(adult male, grown man)	adult male	grown man	bigram	PhraseTable_co-aligned	None	0.925	n-n
(adult male, male adult)	adult male	male adult	bigram	Wikipedia_transposed	None	0.883	n-n
(adult male, man)	adult male	man	unigram	WordNet_synonym	None	0.867	n-n
(adult male, men)	adult male	men	unigram	PhraseTable_co-aligned	None	0.844	n-n
(adult male, grownup)	adult male	grownup	unigram	WordNet_is-a	hypernym	0.764	n-n
(adult male, man's body)	adult male	man's body	bigram	WordNet_part-whole	meronym	0.482	n-n
(adult male, adonis)	adult male	adonis	unigram	WordNet_is-a	hyponym	0.381	n-n
(adult male, population)	adult male	population	unigram	PhraseTable_co-aligned	None	0.319	n-n
(advertising campaign, advertisement)	advertising campaign	advertisement	unigram	PhraseTable_co-aligned	None	0.830	n-n
(advertising campaign, marketing)	advertising campaign	marketing	unigram	PhraseTable_co-aligned	None	0.805	n-n
(advertising campaign, publicity)	advertising campaign	publicity	unigram	PhraseTable_co-aligned	None	0.781	n-n
(advertising campaign, promotion)	advertising campaign	promotion	unigram	PhraseTable_co-aligned	None	0.711	n-n
(advertising campaign, ad blitz)	advertising campaign	ad blitz	bigram	WordNet_synonym	None	0.689	n-n
(advertising campaign, campaign advertising)	advertising campaign	campaign advertising	bigram	Wikipedia_transposed	None	0.677	n-n
(advertising campaign, public-relations campaign)	advertising campaign	public-relations campaign	bigram	WordNet_is-a	hyponym	0.625	n-n
(advertising campaign, cause)	advertising campaign	cause	unigram	WordNet_is-a	hypernym	0.097	n-n
(ageing population, aging society)	ageing population	aging society	bigram	PhraseTable_co-aligned	None	0.822	a-n
(ageing population, population ageing)	ageing population	population ageing	bigram	Wikipedia_transposed	None	0.798	a-n
(ageing population, aging)	ageing population	aging	unigram	PhraseTable_co-aligned	None	0.797	a-n
(ageing population, aged)	ageing population	aged	unigram	PhraseTable_co-aligned	None	0.709	a-n
(ageing population, age)	ageing population	age	unigram	PhraseTable_co-aligned	None	0.562	a-n
(ageing population, demographic)	ageing population	demographic	unigram	PhraseTable_co-aligned	None	0.549	a-n
(ageing population, increase)	ageing population	increase	unigram	PhraseTable_co-aligned	None	0.314	a-n
(air carrier, airline company)	air carrier	airline company	bigram	PhraseTable_co-aligned	None	0.870	n-n
(air carrier, airline)	air carrier	airline	unigram	PhraseTable_co-aligned	None	0.828	n-n
(air carrier, aviation)	air carrier	aviation	unigram	PhraseTable_co-aligned	None	0.738	n-n
(air carrier, airline industry)	air carrier	airline industry	bigram	PhraseTable_co-aligned	None	0.724	n-n
(air carrier, airline travel)	air carrier	airline travel	bigram	PhraseTable_co-aligned	None	0.715	n-n
(air carrier, company)	air carrier	company	unigram	PhraseTable_co-aligned	None	0.611	n-n
(air carrier, transporter)	air carrier	transporter	unigram	PhraseTable_co-aligned	None	0.592	n-n
(air carrier, aerial delivery)	air carrier	aerial delivery	bigram	PhraseTable_co-aligned	None	0.575	n-n
(air carrier, airlift)	air carrier	airlift	unigram	PhraseTable_co-aligned	None	0.538	n-n
(air carrier, transportation company)	air carrier	transportation company	bigram	PhraseTable_co-aligned	None	0.461	n-n
(air carrier, carrier air)	air carrier	carrier air	bigram	Wikipedia_transposed	None	0.445	n-n
(air cleaner, filter)	air cleaner	filter	unigram	WordNet_is-a	hypernym	0.736	n-n
(air cleaner, cleaner air)	air cleaner	cleaner air	bigram	Wikipedia_transposed	None	0.631	n-n
(air cleaner, filter tip)	air cleaner	filter tip	bigram	WordNet_is-a	hyponym	0.418	n-n
(air forces, airforce)	air forces	airforce	unigram	WordNet_synonym	None	0.798	n-n
(air forces, aviation community)	air forces	aviation community	bigram	PhraseTable_co-aligned	None	0.696	n-n
(air forces, aircraft)	air forces	aircraft	unigram	PhraseTable_co-aligned	None	0.692	n-n
(air forces, aviation sector)	air forces	aviation sector	bigram	PhraseTable_co-aligned	None	0.664	n-n
(air forces, forces air)	air forces	forces air	bigram	Wikipedia_transposed	None	0.640	n-n
(air forces, aviation industry)	air forces	aviation industry	bigram	PhraseTable_co-aligned	None	0.627	n-n
(air forces, air corps)	air forces	air corps	bigram	WordNet_is-a	hyponym	0.600	n-n
(air forces, military service)	air forces	military service	bigram	WordNet_is-a	hypernym	0.595	n-n
(air forces, flying)	air forces	flying	unigram	PhraseTable_co-aligned	None	0.546	n-n
(air forces, flight)	air forces	flight	unigram	PhraseTable_co-aligned	None	0.533	n-n
(air forces, airline)	air forces	airline	unigram	PhraseTable_co-aligned	None	0.474	n-n
(air forces, force)	air forces	force	unigram	PhraseTable_co-aligned	None	0.473	n-n
(air forces, squadron leader)	air forces	squadron leader	bigram	PhraseTable_co-aligned	None	0.352	n-n
(air forces, maple leaf)	air forces	maple leaf	bigram	PhraseTable_co-aligned	None	0.195	n-n
(air pressure, pressure air)	air pressure	pressure air	bigram	Wikipedia_transposed	None	0.623	n-n
(air pressure, barometric pressure)	air pressure	barometric pressure	bigram	WordNet_is-a	hyponym	0.621	n-n
(air pressure, gas pressure)	air pressure	gas pressure	bigram	WordNet_is-a	hypernym	0.483	n-n
(air pressure, push)	air pressure	push	unigram	PhraseTable_co-aligned	None	0.434	n-n
(air pressure, flow rate)	air pressure	flow rate	bigram	PhraseTable_co-aligned	None	0.367	n-n
(air pressure, exhaust fan)	air pressure	exhaust fan	bigram	PhraseTable_co-aligned	None	0.336	n-n
(air pressure, strain)	air pressure	strain	unigram	PhraseTable_co-aligned	None	0.270	n-n
(air pressure, dew point)	air pressure	dew point	bigram	PhraseTable_co-aligned	None	0.252	n-n
(air pressure, special interest)	air pressure	special interest	bigram	PhraseTable_co-aligned	None	0.234	n-n
(air pressure, stress)	air pressure	stress	unigram	PhraseTable_co-aligned	None	0.198	n-n
(air pressure, great stress)	air pressure	great stress	bigram	PhraseTable_co-aligned	None	0.147	n-n
(air pressure, lobby)	air pressure	lobby	unigram	PhraseTable_co-aligned	None	0.142	n-n
(air pressure, interest)	air pressure	interest	unigram	PhraseTable_co-aligned	None	0.129	n-n
(air show, aerial display)	air show	aerial display	bigram	PhraseTable_co-aligned	None	0.709	n-n
(air show, aircraft)	air show	aircraft	unigram	PhraseTable_co-aligned	None	0.678	n-n
(air show, show air)	air show	show air	bigram	Wikipedia_transposed	None	0.594	n-n
(air show, event)	air show	event	unigram	PhraseTable_co-aligned	None	0.550	n-n
(air show, hangar)	air show	hangar	unigram	PhraseTable_co-aligned	None	0.491	n-n
(air show, military)	air show	military	unigram	PhraseTable_co-aligned	None	0.370	n-n
(air show, display)	air show	display	unigram	PhraseTable_co-aligned	None	0.274	n-n
(air show, open house)	air show	open house	bigram	PhraseTable_co-aligned	None	0.175	n-n
(aircraft carrier, carrier aircraft)	aircraft carrier	carrier aircraft	bigram	Wikipedia_transposed	None	0.745	n-n
(aircraft carrier, ship)	aircraft carrier	ship	unigram	PhraseTable_co-aligned	None	0.655	n-n
(aircraft carrier, warship)	aircraft carrier	warship	unigram	WordNet_is-a	hypernym	0.607	n-n
(aircraft carrier, military)	aircraft carrier	military	unigram	PhraseTable_co-aligned	None	0.518	n-n
(aircraft carrier, flattop)	aircraft carrier	flattop	unigram	WordNet_synonym	None	0.294	n-n
(aircraft carrier, arrester)	aircraft carrier	arrester	unigram	WordNet_part-whole	meronym	0.190	n-n
(appeal court, court appeal)	appeal court	court appeal	bigram	Wikipedia_transposed	None	0.656	a-n
(appeal court, case)	appeal court	case	unigram	PhraseTable_co-aligned	None	0.596	a-n
(appeal court, review)	appeal court	review	unigram	PhraseTable_co-aligned	None	0.491	a-n
(appeal court, request)	appeal court	request	unigram	PhraseTable_co-aligned	None	0.359	a-n
(appeal court, reporting service)	appeal court	reporting service	bigram	PhraseTable_co-aligned	None	0.284	a-n
(appeal court, call sign)	appeal court	call sign	bigram	PhraseTable_co-aligned	None	0.228	a-n
(appeal court, roll call)	appeal court	roll call	bigram	PhraseTable_co-aligned	None	0.210	a-n
(appeal court, invitation)	appeal court	invitation	unigram	PhraseTable_co-aligned	None	0.169	a-n
(appeal court, draw)	appeal court	draw	unigram	PhraseTable_co-aligned	None	0.147	a-n
(appeal court, telephone call)	appeal court	telephone call	bigram	PhraseTable_co-aligned	None	0.121	a-n
(appeal court, phone call)	appeal court	phone call	bigram	PhraseTable_co-aligned	None	0.049	a-n
(arms control, weapon)	arms control	weapon	unigram	PhraseTable_co-aligned	None	0.677	n-n
(arms control, gun)	arms control	gun	unigram	PhraseTable_co-aligned	None	0.638	n-n
(arms control, regulation)	arms control	regulation	unigram	PhraseTable_co-aligned	None	0.596	n-n
(arms control, firearm)	arms control	firearm	unigram	PhraseTable_co-aligned	None	0.585	n-n
(arms control, control arms)	arms control	control arms	bigram	Wikipedia_transposed	None	0.473	n-n
(arms control, limitation)	arms control	limitation	unigram	WordNet_is-a	hypernym	0.472	n-n
(arms control, arm)	arms control	arm	unigram	PhraseTable_co-aligned	None	0.466	n-n
(art school, school art)	art school	school art	bigram	Wikipedia_transposed	None	0.614	a-n
(art school, conservatory)	art school	conservatory	unigram	WordNet_is-a	hypernym	0.315	a-n
(art student, pupil)	art student	pupil	unigram	WordNet_is-a	hypernym	0.627	n-n
(art student, student art)	art student	student art	bigram	Wikipedia_transposed	None	0.532	n-n
(arts community, artistic environment)	arts community	artistic environment	bigram	PhraseTable_co-aligned	None	0.770	n-n
(arts community, art)	arts community	art	unigram	PhraseTable_co-aligned	None	0.759	n-n
(arts community, artistic milieu)	arts community	artistic milieu	bigram	PhraseTable_co-aligned	None	0.724	n-n
(arts community, art world)	arts community	art world	bigram	PhraseTable_co-aligned	None	0.716	n-n
(arts community, artist)	arts community	artist	unigram	PhraseTable_co-aligned	None	0.655	n-n
(arts community, community arts)	arts community	community arts	bigram	Wikipedia_transposed	None	0.581	n-n
(arts community, artistic scene)	arts community	artistic scene	bigram	PhraseTable_co-aligned	None	0.579	n-n
(arts community, art scene)	arts community	art scene	bigram	PhraseTable_co-aligned	None	0.516	n-n
(attack aircraft, airplane)	attack aircraft	airplane	unigram	WordNet_is-a	hypernym	0.700	n-n
(attack aircraft, aircraft attack)	attack aircraft	aircraft attack	bigram	Wikipedia_transposed	None	0.653	n-n
(attack aircraft, fighter)	attack aircraft	fighter	unigram	WordNet_synonym	None	0.528	n-n
(attack aircraft, interceptor)	attack aircraft	interceptor	unigram	WordNet_is-a	hyponym	0.443	n-n
(attorney general, prosecutor)	attorney general	prosecutor	unigram	PhraseTable_co-aligned	None	0.796	n-n
(attorney general, general attorney)	attorney general	general attorney	bigram	Wikipedia_transposed	None	0.725	n-n
(attorney general, lawman)	attorney general	lawman	unigram	WordNet_is-a	hypernym	0.665	n-n
(attorney general, counsel)	attorney general	counsel	unigram	PhraseTable_co-aligned	None	0.631	n-n
(attorney general, cabinet minister)	attorney general	cabinet minister	bigram	PhraseTable_co-aligned	None	0.451	n-n
(attorney general, solicitor)	attorney general	solicitor	unigram	PhraseTable_co-aligned	None	0.395	n-n
(attorney general, federal minister)	attorney general	federal minister	bigram	PhraseTable_co-aligned	None	0.361	n-n
(attorney general, ministry)	attorney general	ministry	unigram	PhraseTable_co-aligned	None	0.339	n-n
(attorney general, department)	attorney general	department	unigram	PhraseTable_co-aligned	None	0.310	n-n
(attorney general, finance minister)	attorney general	finance minister	bigram	PhraseTable_co-aligned	None	0.250	n-n
(attorney general, prime minister)	attorney general	prime minister	bigram	PhraseTable_co-aligned	None	0.207	n-n
(attorney general, health minister)	attorney general	health minister	bigram	PhraseTable_co-aligned	None	0.144	n-n
(audio cd, compact disk)	audio cd	compact disk	bigram	WordNet_is-a	hypernym	0.820	a-n
(audio cd, cd audio)	audio cd	cd audio	bigram	Wikipedia_transposed	None	0.804	a-n
(audio recording, recording audio)	audio recording	recording audio	bigram	Wikipedia_transposed	None	0.828	a-n
(audio recording, recorded sound)	audio recording	recorded sound	bigram	PhraseTable_co-aligned	None	0.802	a-n
(audio recording, sound)	audio recording	sound	unigram	PhraseTable_co-aligned	None	0.746	a-n
(audio recording, music)	audio recording	music	unigram	PhraseTable_co-aligned	None	0.746	a-n
(audio recording, tape)	audio recording	tape	unigram	PhraseTable_co-aligned	None	0.711	a-n
(audio recording, audiotape)	audio recording	audiotape	unigram	WordNet_is-a	hyponym	0.661	a-n
(audio recording, cassette tape)	audio recording	cassette tape	bigram	PhraseTable_co-aligned	None	0.652	a-n
(audio recording, sound reinforcement)	audio recording	sound reinforcement	bigram	PhraseTable_co-aligned	None	0.510	a-n
(audio recording, radio)	audio recording	radio	unigram	PhraseTable_co-aligned	None	0.500	a-n
(audio recording, dramatic work)	audio recording	dramatic work	bigram	PhraseTable_co-aligned	None	0.224	a-n
(audio recording, pointing device)	audio recording	pointing device	bigram	PhraseTable_co-aligned	None	0.165	a-n
(average person, ordinary citizen)	average person	ordinary citizen	bigram	PhraseTable_co-aligned	None	0.724	a-n
(average person, common man)	average person	common man	bigram	PhraseTable_co-aligned	None	0.672	a-n
(average person, people)	average person	people	unigram	PhraseTable_co-aligned	None	0.643	a-n
(average person, person average)	average person	person average	bigram	Wikipedia_transposed	None	0.518	a-n
(average person, ordinary)	average person	ordinary	unigram	PhraseTable_co-aligned	None	0.517	a-n
(average person, citizen)	average person	citizen	unigram	PhraseTable_co-aligned	None	0.485	a-n
(average person, layman)	average person	layman	unigram	PhraseTable_co-aligned	None	0.370	a-n
(average person, country)	average person	country	unigram	PhraseTable_co-aligned	None	0.255	a-n
(average person, everyday world)	average person	everyday world	bigram	PhraseTable_co-aligned	None	0.254	a-n
(awards ceremony, award)	awards ceremony	award	unigram	PhraseTable_co-aligned	None	0.822	n-n
(awards ceremony, ceremony awards)	awards ceremony	ceremony awards	bigram	Wikipedia_transposed	None	0.815	n-n
(awards ceremony, award presentation)	awards ceremony	award presentation	bigram	PhraseTable_co-aligned	None	0.742	n-n
(awards ceremony, celebration)	awards ceremony	celebration	unigram	PhraseTable_co-aligned	None	0.736	n-n
(awards ceremony, event)	awards ceremony	event	unigram	PhraseTable_co-aligned	None	0.640	n-n
(awards ceremony, special event)	awards ceremony	special event	bigram	PhraseTable_co-aligned	None	0.535	n-n
(awards ceremony, parade)	awards ceremony	parade	unigram	PhraseTable_co-aligned	None	0.432	n-n
(awards ceremony, memorial service)	awards ceremony	memorial service	bigram	PhraseTable_co-aligned	None	0.393	n-n
(awards ceremony, royal assent)	awards ceremony	royal assent	bigram	PhraseTable_co-aligned	None	0.278	n-n
(awards ceremony, service)	awards ceremony	service	unigram	PhraseTable_co-aligned	None	0.200	n-n
(awards ceremony, prayer service)	awards ceremony	prayer service	bigram	PhraseTable_co-aligned	None	0.083	n-n
(ball game, baseball)	ball game	baseball	unigram	WordNet_is-a	hyponym	0.833	n-n
(ball game, field game)	ball game	field game	bigram	WordNet_is-a	hypernym	0.593	n-n
(ball game, game ball)	ball game	game ball	bigram	Wikipedia_transposed	None	0.508	n-n
(bank branch, branch bank)	bank branch	branch bank	bigram	Wikipedia_transposed	None	0.795	n-n
(bank branch, banking)	bank branch	banking	unigram	PhraseTable_co-aligned	None	0.700	n-n
(bank branch, atm)	bank branch	atm	unigram	PhraseTable_co-aligned	None	0.516	n-n
(bank branch, superintendent)	bank branch	superintendent	unigram	PhraseTable_co-aligned	None	0.369	n-n
(bank branch, notice)	bank branch	notice	unigram	PhraseTable_co-aligned	None	0.150	n-n
(bank branch, electoral district)	bank branch	electoral district	bigram	PhraseTable_co-aligned	None	0.140	n-n
(bank branch, telecommunication)	bank branch	telecommunication	unigram	PhraseTable_co-aligned	None	0.115	n-n
(banking business, bank)	banking business	bank	unigram	PhraseTable_co-aligned	None	0.797	n-n
(banking business, financial sector)	banking business	financial sector	bigram	PhraseTable_co-aligned	None	0.708	n-n
(banking business, business banking)	banking business	business banking	bigram	Wikipedia_transposed	None	0.662	n-n
(banking business, banker)	banking business	banker	unigram	PhraseTable_co-aligned	None	0.577	n-n
(banking business, private sector)	banking business	private sector	bigram	PhraseTable_co-aligned	None	0.562	n-n
(banking business, sector)	banking business	sector	unigram	PhraseTable_co-aligned	None	0.467	n-n
(banking business, industry)	banking business	industry	unigram	PhraseTable_co-aligned	None	0.333	n-n
(banking business, system)	banking business	system	unigram	PhraseTable_co-aligned	None	0.288	n-n
(banking community, bank branch)	banking community	bank branch	bigram	PhraseTable_co-aligned	None	0.736	n-n
(banking community, community banking)	banking community	community banking	bigram	Wikipedia_transposed	None	0.605	n-n
(banking community, investment)	banking community	investment	unigram	PhraseTable_co-aligned	None	0.536	n-n
(banking community, foreign bank)	banking community	foreign bank	bigram	PhraseTable_co-aligned	None	0.536	n-n
(banking community, chartered bank)	banking community	chartered bank	bigram	PhraseTable_co-aligned	None	0.510	n-n
(banking community, credit)	banking community	credit	unigram	PhraseTable_co-aligned	None	0.500	n-n
(banking community, large bank)	banking community	large bank	bigram	PhraseTable_co-aligned	None	0.455	n-n
(banking community, interest rate)	banking community	interest rate	bigram	PhraseTable_co-aligned	None	0.450	n-n
(banking community, insurance)	banking community	insurance	unigram	PhraseTable_co-aligned	None	0.448	n-n
(banking community, budget)	banking community	budget	unigram	PhraseTable_co-aligned	None	0.423	n-n
(banking community, company)	banking community	company	unigram	PhraseTable_co-aligned	None	0.404	n-n
(base rate, tariff)	base rate	tariff	unigram	PhraseTable_co-aligned	None	0.645	n-n
(base rate, basic pay)	base rate	basic pay	bigram	PhraseTable_co-aligned	None	0.603	n-n
(base rate, monthly fee)	base rate	monthly fee	bigram	PhraseTable_co-aligned	None	0.587	n-n
(base rate, basis)	base rate	basis	unigram	PhraseTable_co-aligned	None	0.561	n-n
(base rate, basic)	base rate	basic	unigram	PhraseTable_co-aligned	None	0.543	n-n
(base rate, rate base)	base rate	rate base	bigram	Wikipedia_transposed	None	0.500	n-n
(base rate, interest rate)	base rate	interest rate	bigram	WordNet_is-a	hypernym	0.500	n-n
(base rate, percentage)	base rate	percentage	unigram	PhraseTable_co-aligned	None	0.500	n-n
(base rate, basic level)	base rate	basic level	bigram	PhraseTable_co-aligned	None	0.438	n-n
(base rate, prime)	base rate	prime	unigram	PhraseTable_co-aligned	None	0.353	n-n
(beacon light, light beacon)	beacon light	light beacon	bigram	Wikipedia_transposed	None	0.648	n-n
(beacon light, lighthouse)	beacon light	lighthouse	unigram	WordNet_synonym	None	0.617	n-n
(beacon light, pharos)	beacon light	pharos	unigram	WordNet_synonym	None	0.508	n-n
(beacon light, tower)	beacon light	tower	unigram	WordNet_is-a	hypernym	0.411	n-n
(blood donor, universal donor)	blood donor	universal donor	bigram	WordNet_is-a	hyponym	0.680	n-n
(blood donor, donor blood)	blood donor	donor blood	bigram	Wikipedia_transposed	None	0.635	n-n
(blood donor, bloodstream)	blood donor	bloodstream	unigram	PhraseTable_co-aligned	None	0.546	n-n
(blood donor, health care)	blood donor	health care	bigram	PhraseTable_co-aligned	None	0.544	n-n
(blood donor, bleeding)	blood donor	bleeding	unigram	PhraseTable_co-aligned	None	0.422	n-n
(blood donor, people)	blood donor	people	unigram	PhraseTable_co-aligned	None	0.393	n-n
(blood donor, cardiovascular disease)	blood donor	cardiovascular disease	bigram	PhraseTable_co-aligned	None	0.351	n-n
(blood donor, proper analysis)	blood donor	proper analysis	bigram	PhraseTable_co-aligned	None	0.339	n-n
(blood donor, clinical trial)	blood donor	clinical trial	bigram	PhraseTable_co-aligned	None	0.339	n-n
(blood donor, health research)	blood donor	health research	bigram	PhraseTable_co-aligned	None	0.336	n-n
(blood donor, sake)	blood donor	sake	unigram	PhraseTable_co-aligned	None	0.147	n-n
(blood donor, sang)	blood donor	sang	unigram	PhraseTable_co-aligned	None	0.100	n-n
(board game, game board)	board game	game board	bigram	Wikipedia_transposed	None	0.758	n-n
(board game, backgammon)	board game	backgammon	unigram	WordNet_is-a	hyponym	0.741	n-n
(board game, parlor game)	board game	parlor game	bigram	WordNet_is-a	hypernym	0.404	n-n
(board member, member board)	board member	member board	bigram	Wikipedia_transposed	None	0.724	n-n
(board member, director)	board member	director	unigram	PhraseTable_co-aligned	None	0.693	n-n
(board member, executive director)	board member	executive director	bigram	PhraseTable_co-aligned	None	0.673	n-n
(board member, membership)	board member	membership	unigram	PhraseTable_co-aligned	None	0.607	n-n
(board member, administrator)	board member	administrator	unigram	PhraseTable_co-aligned	None	0.573	n-n
(board member, fellow member)	board member	fellow member	bigram	WordNet_is-a	hypernym	0.571	n-n
(board member, governing council)	board member	governing council	bigram	PhraseTable_co-aligned	None	0.535	n-n
(board member, advisory council)	board member	advisory council	bigram	PhraseTable_co-aligned	None	0.508	n-n
(board member, council office)	board member	council office	bigram	PhraseTable_co-aligned	None	0.438	n-n
(board member, officer)	board member	officer	unigram	PhraseTable_co-aligned	None	0.419	n-n
(board member, advice)	board member	advice	unigram	PhraseTable_co-aligned	None	0.395	n-n
(board member, research council)	board member	research council	bigram	PhraseTable_co-aligned	None	0.324	n-n
(bowling pin, pin bowling)	bowling pin	pin bowling	bigram	Wikipedia_transposed	None	0.798	n-n
(bowling pin, bowling equipment)	bowling pin	bowling equipment	bigram	WordNet_is-a	hypernym	0.738	n-n
(bowling pin, candlepin)	bowling pin	candlepin	unigram	WordNet_is-a	hyponym	0.169	n-n
(branch line, line branch)	branch line	line branch	bigram	Wikipedia_transposed	None	0.566	n-n
(branch line, railway line)	branch line	railway line	bigram	WordNet_is-a	hypernym	0.527	n-n
(branch line, spur track)	branch line	spur track	bigram	WordNet_synonym	None	0.491	n-n
(branch line, loop-line)	branch line	loop-line	unigram	WordNet_is-a	hyponym	0.469	n-n
(branch line, water mark)	branch line	water mark	bigram	PhraseTable_co-aligned	None	0.339	n-n
(branch line, airline transport)	branch line	airline transport	bigram	PhraseTable_co-aligned	None	0.288	n-n
(branch line, loop)	branch line	loop	unigram	PhraseTable_co-aligned	None	0.273	n-n
(branch line, online environment)	branch line	online environment	bigram	PhraseTable_co-aligned	None	0.242	n-n
(branch line, spur)	branch line	spur	unigram	WordNet_synonym	None	0.220	n-n
(branch line, mark)	branch line	mark	unigram	PhraseTable_co-aligned	None	0.208	n-n
(branch line, end)	branch line	end	unigram	PhraseTable_co-aligned	None	0.207	n-n
(branch line, day)	branch line	day	unigram	PhraseTable_co-aligned	None	0.192	n-n
(branch line, web site)	branch line	web site	bigram	PhraseTable_co-aligned	None	0.163	n-n
(bridge crossing, crossing bridge)	bridge crossing	crossing bridge	bigram	Wikipedia_transposed	None	0.540	n-n
(bridge crossing, river)	bridge crossing	river	unigram	PhraseTable_co-aligned	None	0.435	n-n
(bridge crossing, fixed link)	bridge crossing	fixed link	bigram	PhraseTable_co-aligned	None	0.307	n-n
(bridge crossing, address)	bridge crossing	address	unigram	PhraseTable_co-aligned	None	0.286	n-n
(bridge crossing, balance)	bridge crossing	balance	unigram	PhraseTable_co-aligned	None	0.280	n-n
(bridge crossing, deck area)	bridge crossing	deck area	bigram	PhraseTable_co-aligned	None	0.259	n-n
(bridge crossing, intervention)	bridge crossing	intervention	unigram	PhraseTable_co-aligned	None	0.254	n-n
(bridge crossing, deck level)	bridge crossing	deck level	bigram	PhraseTable_co-aligned	None	0.246	n-n
(bridge crossing, main deck)	bridge crossing	main deck	bigram	PhraseTable_co-aligned	None	0.154	n-n
(bridge crossing, flight deck)	bridge crossing	flight deck	bigram	PhraseTable_co-aligned	None	0.152	n-n
(bridge crossing, order)	bridge crossing	order	unigram	PhraseTable_co-aligned	None	0.139	n-n
(broadcasting station, radio station)	broadcasting station	radio station	bigram	WordNet_is-a	hyponym	0.900	n-n
(broadcasting station, station broadcasting)	broadcasting station	station broadcasting	bigram	Wikipedia_transposed	None	0.807	n-n
(broken heart, heart broken)	broken heart	heart broken	bigram	Wikipedia_transposed	None	0.830	a-n
(broken heart, sorrow)	broken heart	sorrow	unigram	WordNet_is-a	hypernym	0.619	a-n
(building block, block building)	building block	block building	bigram	Wikipedia_transposed	None	0.689	n-n
(building block, unit)	building block	unit	unigram	WordNet_synonym	None	0.689	n-n
(building block, piece)	building block	piece	unigram	PhraseTable_co-aligned	None	0.429	n-n
(building block, core component)	building block	core component	bigram	PhraseTable_co-aligned	None	0.429	n-n
(building block, integral component)	building block	integral component	bigram	PhraseTable_co-aligned	None	0.429	n-n
(building block, part)	building block	part	unigram	WordNet_part-whole	meronym	0.420	n-n
(building block, core)	building block	core	unigram	PhraseTable_co-aligned	None	0.409	n-n
(building block, component part)	building block	component part	bigram	PhraseTable_co-aligned	None	0.398	n-n
(building block, basic core)	building block	basic core	bigram	PhraseTable_co-aligned	None	0.377	n-n
